t|b
餐厅 招聘 厨房 大厨 ， 最好 有 工作证 的|大家 好 ， 谢谢 观看 此 贴 ， 小餐厅 不 大 ， 在 vevey 以北 2 公里 左右 ， 4 月 开张 ， 有 住宿 ， 现 需要 找 一 名 可以 有 足够 经验 ， 可以 独立 面对 厨房 日常 工作 的 大厨 。 由于 目前 政府 查 的 严 ， 所以 最好 是 请 个 有 工作证 的 朋友 来 工作 。 关于 工资 等 细节 ， 只能 具体 情况 具体 分析 ， 但 保证 是 要 双方 都 基本 满意 才 好 。 如果 感 兴趣 ， 请 和 我 联系 吧 。 visclou@ yahoo.com
招聘 翻译 中 德语 翻译 一 名|" 本 帖 最后 由 vivian_ ao 于 2012-2-2111:26 编辑
3 月 初 国内 公司 会 来 basel 希望 找到 一 名 翻译 中德 语言 的 翻译 能 精通 英语 更 好
是 关于 一些 材料 文件 的 审核 及 会议 的 翻译
在 瑞士 有 工作 的 或者 学生 只要 符合 条件 即 可
薪资 可以 自提
谢谢
( 已 找 ) "
中餐馆 诚聘 楼面 一 名|" Sion 的 中餐馆 现 招聘 楼面 一 名 ， 要求 ： 男性
有 工作 经验 ... 可以 独立 招待 客人
详情 请 致电 ： 0767890734
谢谢 ！ "
招月嫂 （ 洛桑）|急 招月嫂 一 名 ， 我 老婆 快要 生 了 ， 想 找 月嫂 一 名 照顾 ， 月嫂 条件 （ 有 生 过 孩子 ， 会 讲 一点 法语 ， 可以 陪 我 老婆 进 产房 的 。 ） 月薪 1300 CHF ， 包 吃 住 ， 星期天 休息 1 天 。
招聘 厨师|(s2142a ) 楼主 是 要 解决 希腊 就业 问题
Recruitment : Finance Assistant-50%|does this job offer still in an open position ?
蒙特勒 中餐馆 招 打杂 的|工资 1800 ， 不 包住 ， 希望 找个 勤劳 的 ， 需要 联系 我 张 小雨 076782 3289 【 14.00 - 16.00 】 【 22.00-01.00 】 这 时间 有 空 ， 其它 时间 勿 扰
寻求 律师|" 本 帖 最后 由 vivian_ ao 于 2012-1-3021:46 编辑
帮 人代 问 中国 的 一 家 公司 会 来到 瑞士 进行 一个 公司 的 收购 寻找 一个 精通 英语 或者 德语 的 华人 律师 ！ 一定 要 有 相关 收购 经验 的 。 有 可以 胜任 的 请 尽快 联系 我 ( 站 内 联系 ) 谢谢 "
中餐馆 诚聘 楼面 一 名|" Sion 的 中餐馆 现 招聘 楼面 一 名 ， 要求 ： 男性
有 工作 经验 ... 可以 独立 招待 客人
详情 请 致电 ： 0767890734
谢谢 ！ "
招聘 瑞士 巴塞尔 陪同 翻译|招聘 瑞士 巴塞尔 陪同 翻译 我 司 是 一 家 总部 在 深圳 的 高级 时尚 品牌 运营商 ， 现 CEO 出访 瑞士 会见 合作 伙伴 ， 需 招聘 巴塞尔 翻译 一 名 ， 时间 ： 3 月 8-14 日 ， 具体 日程 安排 另行 通知 。 要求 ： 英 法语 流利 ， 会 德语 更 佳 ， 之前 有 丰富 的 商务 谈判 经验 ， 懂 商务 礼仪 ， 最好 有 相关 珠宝 腕 表 行业 的 工作 经验 ， 形象 气质 佳 。 有意者 请 速将 中 英文 简历 投 至 int@copais.com.cn 并 请 附上 一 张 近照 ， 薪资 面议 ， 谢谢 ！
法语 区 中餐厅 招 楼面 一 位|" 替 友 发帖 。
法语 区 中餐厅 找 楼面 ， 要求 会 法语 ， 有 工作 经验 ， 最 好 会 简单 的 英语 。 有意者 请 电话 详谈 ， 电话 号码 0763460688 。
谢谢 。 "
LUZERN 中餐 找 学 生工 （ part-time ）|" 餐馆 位于 LUZERN 的 一个 小 城里 , 现 需要 一 至 两 名 临时工 .
餐厅 提供 食宿 , 工作 时间 由 双方 协调 后 再 做出 具体 安排 .
不 限 男 女生 具体 细节 希望 能 通过 面议 决定 !
有 兴趣 的 同学 可以 通过 一下 方式 联系 我们 :
Email : changcheng-willisau@ hotmail.com
TEL : 076-3199788
地址 : HAUPTGASSE 46
6130 WILLISAU LUZERN"
餐馆 招聘 夫妻 一 对 ， 厨房 和 楼面|有意者 请 联系 078668 1822
找 人 带 小孩|想 找个 有 爱心 的 女 同胞 ， 带 看 一个 9 个 多 月 大 的 孩子 ， 有 意者 请 电联 ： 0783053275 , 078850882 3 。 本人 在 日内瓦 ， 谢谢 !
中餐馆 诚聘 楼面 一 名|" Sion 的 中餐馆 现 招聘 楼面 一 名 ， 要求 ： 男性
有 工作 经验 ... 可以 独立 招待 客人
详情 请 致电 ： 0767890734
谢谢 ！ "
中餐馆 诚聘 楼面 一 名|" Sion 的 中餐馆 现 招聘 楼面 一 名 ， 要求 ： 男性
有 工作 经验 ... 可以 独立 招待 客人
详情 请 致电 ： 0767890734
谢谢 ！ "
法区 亚洲 餐厅 找 厨师|本 店 位于 vevey 老城区 , 现 想 招聘 一 名 厨师 , 有意者 请 致电 0765852599 李 先生
楼面 工作|现有 一 家 中餐馆 。 。 想 招聘 女生 做 楼面 。 。 最好 是 学生 。 。 一个 月 1600 。 。 包 吃 住 。 。 有 小费 。 。 有 学生 找 实习 的 可以 试试 。 。 。 有意者 联系 。 。
法区 亚洲 餐厅 找 厨师|本 店 位于 vevey 老城区 , 现 想 招聘 一 名 厨师 , 有意者 请 致电 0765852599 李 先生
招聘 楼面 一 名|" 本 帖 最后 由 sky.wei 于 2012-1-523:59 编辑
中餐馆 现 招聘 楼面 一 名 ， 要求 ： 女性 ， 会 基本 法语 接听 电话 ， 具体 事项 请 联系 电话 0788862241 ， 谢谢 ！ http : //udisk.czkdw.com/myfile/28 1291745/dj2/cmp.swf"
找 厨房 打 杂工|" 本人 来 瑞士 一 年 了 , 男生 . 没有 证 . 一直 在 做 楼面 ， 现在 想 找 个 厨房 工作 。
厨房 有 做 三 个 月 , 基本 知道 一点 . 做 楼面 时候 也 有 帮 厨房 做 , .
有 需要 的 , 麻烦 联系 我 .QQ 7534 4579 电话 ; 0767897259 "
法区 一 中餐馆 找 楼面 。|" 法区 ， Yverdon-les- Bains , 中餐馆 找 楼面 。
有意者 请 打 0764525757 老板 姓 杨 。
我 是 替 人 发 的 ， 貌 似 不 包住 。
详细 的 问 老板 吧 。
谢谢 。 "
日内瓦 ， 寻 法语 家教 ， 教 6 岁 小朋友|" 如 题
小女 孩儿 6 岁 ， 住 在 Cologny-Geneva ， 需 法语 ( 为 母语 ） 家教 ， 每周 2-3 小时 ， 时间 灵活 。
请 朋友 们 帮忙 代 找 ， 学生 最佳 。
商议 时间 和 工资 请 短信 联系 。
非常 感谢 ！ "
|
中餐馆 找 一 名 技术 好 的 大厨|中餐馆 找 大厨 我 友 ， 欲 将 新 开张 一中 餐厅 ， 寻 有 经验 大厨 一 名 ， 可 出证 ， 电话 ， 0787586517 ， 非诚勿扰 ， 多谢 各位 ，
( 招聘 ) 长期 招聘 德语 及 法语 翻译|本 公司 招聘 长期 德语 及 法语 翻译 ， 主要 负责 公务 活动 的 翻译 工作 。 有意者 请将 个人 简历 发 至 Violaine 联系 方式 ： eht009@hotmail.com 报酬 详谈 。
招 中医 啦 ！|" Z ü rich , SchweizStellentyp : VollzeitstelleReferenz : 6492 Firmen-
beschreibung : Unser Kunde ist eine kleine , feine und sehr erfolgreiche allgemein-medizinische Praxis mit modernen und praktischen R ä umlichkeiten an der Z ü rcher Goldk ü ste ( rechtes Seeufer).Aufgaben : Sie betreuen Ihre internationalen Patienten nach bestem Wissen und Gewissen und bauen den Kundenstamm weiter aus.
Es bereitet Ihnen grosse Freude , in einem kleinen , hochkompetenten Team zu agieren und Ihre Ideen mit einzubringen.Profil : Sie verf ü gen ü ber eine Ausbildung zum Arzt oder zur Aerztin in allgemeiner Medizin und haben allenfalls eine komplement ä re Spezialausrichtung/Zusatzausbildung abgeschlossen , das Sie gerne weiter ausbauen m ö chten.
M ö gliche Spezialausrichtungen w ä ren z.B.Akupunktur , manuelle Medizin etc.oder Sie verf ü gen ü ber eine andere Facharztausbildung wie traditionelle chinesische Medizin , Chiropraktor , Endokrinologie , Allergologie , etc.
Da die Praxis viele internationale Patienten hat , sprechen Sie gutes Englisch.Weitere Informationen : F ü r weitere Informationen zu dieser spannenden Aufgabe stehen wir Ihnen sehr gerne zur Verf ü gung.Kontakt : REVIVAL Consulting AG
Gian-Reto Schmid
Tessinerplatz 12
8027 Z ü rich
0 442878707
via Kontaktformular"
急需 保姆|有 一 朋友 ， 现在 急需 聘请 一 位 有 经验 的 保姆 ， 照顾 一个 一 岁 半 的 可爱 的 小 女孩 ， 白天 孩子 在 托儿所 ， 只 需 早上 10 点 送 到 托儿所 ， 下午 四点 接 回 ， 所以 孩子 上课 期间 ， 空余 的 时间 都 可以 自由 支配 ， 雇主 一直 想 找 一个 包 食宿 的 保姆 ， 晚上 可以 陪 孩子 入睡 ， 地点 在 日内瓦 市区 ， 有意者 请 联系 079321 3218 。
沃州 中餐 招 临时 洗 碗工|什么 时候 开始 ？ 1# aiwobiezou
瑞士 法语 区 招聘 优秀 中医师 ， 待遇 优厚 ！|" 该 诊所 针灸 推拿 为主 ， 中药 为辅 。 要求 中医师 为 正规 中医 院校 毕业 ， 各种 证件 齐全 。 针灸 、 推拿 、 骨伤 专业 的 首选 。 能 熟练 运用 针灸 ， 推拿 有效 治疗 多种 常见 疾病 。 年龄 30--45. 诚实 敬业 ， 服从 管理 。 有意者 可将 简历 发 至 以下 邮箱 ： yzzl.2008@ yahoo.com.cn
欢迎 身 居 英国 的 众多 中医师 加盟 ， 也 可 将 以上 消息 转告 给 中国 国内 你 所 知道 的 优秀 中医师 。 待遇 优厚 ！ "
搬家 求 有 货车 的 人士 帮忙 ， 有偿|" 本 帖 最后 由 西蒙 simon 于 2012-1-3013:03 编辑
今天 1 月 30 号 就要 搬 地址 是 从 USTER 火车站 搬 到 oberengstringen 都 在 苏黎世 内 。 价格 100 CHF 。 快 的 话 一个 小时 多 一 点 就 搞定 了 。 有 兴趣 的 联系 电话 07652198 19
车 最好 是 这样 的 "
洛桑 寻找 一个 家政 人员 ， 阿姨|" 如 题 ， 每周 1 到 2 天 ， 价格 和 时间 面议
地址 在 pully 请 联系 0794353955
高 先生 "
法语 区 中餐厅 招 帮 厨 洗碗 一 名 （ 已 找到 ， 谢谢 关注 ）|" 本 帖 最后 由 困 困于 2012-1-2522:46 编辑
替 友 发帖 。
法语 区 中餐厅 招聘 帮厨 洗碗 一 名 ， 详细 情况 请 联系 0763460688 。 谢谢 。 "
招 搬运工 1 月 19 号|vaud 州 1 月 19 号 需要 搬运工 1-2 名 ， 15 块 一 小时 ， 4-8 小时 ， 做 不 到 8 小时 报销 车费 ， 包 一 顿 午饭 。 要求 有 力气 。 有意者 短 信 留 电话 。
餐厅 找 楼面|" 本 帖 最后 由 freesky 于 2012-3-1317:21 编辑
德语区 ， 找 楼面 一 名 ， 学生 实习 的 也 行 ， 要求 会 德语 ， 有 工作 经验 0788890042 "
Basel 中餐馆 招 楼面|" Basel 位于 火车站 附近 中餐馆 招 女 楼面 一 名 ， 20-100％ ， 要 有 瑞士 合法 居留 证件 ， 有 工作 经验 ， 懂 粤 语 或 普通话 ， 有 兴趣 的 朋友 请 14：00 后 联系
电话 061-3612828 "
找 厨师|亚洲 餐厅 找 厨师 一 名 ， 地点 willisau 电话 0788890042 陈
找 中餐 大厨 替工|想 找 中餐 大厨 替工 一 到 两 个 月 , 要 有 炒菜 和 点心 的 经验 , 有意 电话 联系 , 谢谢 !0763662628 或 0244413575
招 实习 的 学生 。|德区 找 实习 的 学生 ， 可 马上 开始 。 078 704 6576
找个 临时 厨师 ， 星期日 到 星期三 ， 4 天 ， 在 德区|" 本 帖 最后 由 restaurant 于 2012-1-150 2:24 编辑
找个 有 证 的 临时 厨师 ， 在 1 月 底 或是 2 月份 ， 从 星期日 到 星期三 ， 4 天 ，
本人 要 回国 几 天 ， 想 赚 点 外快 的 请 尽快 联系 078 704 6576
具体 的 要 哪个 星期 由 你 来 定 。 "
洛桑 招收 学生 楼面|大家 好 洛桑 中餐馆 现 需要 女 学生 楼面 有 意者 请 致电 02 13118383 谢谢
招聘 瑞士 巴塞尔 陪同 翻译|招聘 瑞士 巴塞尔 陪同 翻译 我 司 是 一 家 总部 在 深圳 的 高级 时尚 品牌 运营商 ， 现 CEO 出访 瑞士 会见 合作 伙伴 ， 需 招聘 巴塞尔 翻译 一 名 ， 时间 ： 3 月 8-14 日 ， 具体 日程 安排 另行 通知 。 要求 ： 英 法语 流利 ， 会 德语 更 佳 ， 之前 有 丰富 的 商务 谈判 经验 ， 懂 商务 礼仪 ， 最好 有 相关 珠宝 腕 表 行业 的 工作 经验 ， 形象 气质 佳 。 有意者 请 速将 中 英文 简历 投 至 int@copais.com.cn 并 请 附上 一 张 近照 ， 薪资 面议 ， 谢谢 ！
中餐 找 厨师 或 帮厨 一 名 .|中餐 找 厨师 或 帮厨 一 名 . 要求 是 要 有 工作 经验 ， 电 .07 971 39588
找 帮 厨|LUZERN 找 帮 厨 一 名 ， 要求 勒 快 ， 实在 ， 07986 21171
招聘 瑞士 巴塞尔 陪同 翻译|招聘 瑞士 巴塞尔 陪同 翻译 我 司 是 一 家 总部 在 深圳 的 高级 时尚 品牌 运营商 ， 现 CEO 出访 瑞士 会见 合作 伙伴 ， 需 招聘 巴塞尔 翻译 一 名 ， 时间 ： 3 月 8-14 日 ， 具体 日程 安排 另行 通知 。 要求 ： 英 法语 流利 ， 会 德语 更 佳 ， 之前 有 丰富 的 商务 谈判 经验 ， 懂 商务 礼仪 ， 最好 有 相关 珠宝 腕 表 行业 的 工作 经验 ， 形象 气质 佳 。 有意者 请 速将 中 英文 简历 投 至 int@copais.com.cn 并 请 附上 一 张 近照 ， 薪资 面议 ， 谢谢 ！
|
二月 21 号 搬家 waedenswil 需要 帮手|有 陷阱 ， 没有 说新 家 在 几 楼
招聘 学生 楼面|洛桑 皇朝 中餐馆 招收 学生 楼面 限 女 学生 有 意者 联系 02 13118383 谢谢 ...
日内瓦 - 找人 带 孩子|" 如 题 。 人 在 日内瓦 离 火车站 5 分钟 步行 。
小孩 ， 8 个 月 大 。 工作 时间 星期 2-5 早上 11 点 到 3 点 。 晚上 5 点 到 8 点半 左右 。 星期 6 早上 9.30 -3 点 3 点 30 之间 晚上 5 点 到 7 点 这样 。 星期天 跟 一 休息 时间 。 工资 一个 月 1200 CHF 。 要 来 我 家里 的 。 联系 电话 ： 0788508823 ， 0783053275.
.(s 2142a ) (s2116a)
。 谢谢 您 的 支持 ！ "
中餐馆 现 需要 一 位 楼面|大家 好 ， lausanne 市中心 有 一 家 中餐馆 正 找 女 服务生 ， 最 好 有 居住证 或 学生 身份 ， 能 做 全职 的 。 请 有 兴趣 了解 工作 待遇 细节 的 朋友 打电话 详 谈 02 13118383
寿司 师傅 报酬 优厚 ( 已 找到 )|" 本 帖 最后 由 duebendorf 于 2012-1-1222:38 编辑
我 需要 一 位 会 做 寿司 的 师傅 到 我家 Meilen ( 苏黎世 ) 来 做 一 顿 寿司 。 待遇 优厚 ， 哥们 中国 人 决不 坑 中国 人 。 我们 20 个 人 ， 希望 可以 跟着 师傅 一起 动手 做 ， 然后 自己 吃 自己 做 的 。
要求 :
1 。 会 英语 ， 可以 用 英语 介绍 寿司 的 做法 以及 和 我 朋友 沟通
日期 与 时间 :
2 月 下旬 的 一个 晚上 从 18.00 点 到 21 点
3. 食材 :
你 提供 或者 我 准备 都 可以 。 具体 的 电话 商议
3 。 报酬
每 小时 100 chf 另加 报销 路费 。 如果 你 是 从 别的 洲 赶 过来 的 话 ， 可以 报 销 1 等 舱 的 火车 。
注意 :
我 需要 一 张 收据 / 帐单 ， 公司 或 私人 的 都 可以 ， 你 可以 自己 提前 用 电脑 打印 出来 。
感兴趣者 请 留下 电话 "
招聘 瑞士 巴塞尔 陪同 翻译|招聘 瑞士 巴塞尔 陪同 翻译 我 司 是 一 家 总部 在 深圳 的 高级 时尚 品牌 运营商 ， 现 CEO 出访 瑞士 会见 合作 伙伴 ， 需 招聘 巴塞尔 翻译 一 名 ， 时间 ： 3 月 8-14 日 ， 具体 日程 安排 另行 通知 。 要求 ： 英 法语 流利 ， 会 德语 更 佳 ， 之前 有 丰富 的 商务 谈判 经验 ， 懂 商务 礼仪 ， 最好 有 相关 珠宝 腕 表 行业 的 工作 经验 ， 形象 气质 佳 。 有意者 请 速将 中 英文 简历 投 至 int@copais.com.cn 并 请 附上 一 张 近照 ， 薪资 面议 ， 谢谢 ！
瓦莱州 找 楼面 替工 一 名|" 瓦莱州 找 楼面 替工 一 名 , 1 月 15 号 开始 .
有意者 请 联系 : 0762387722 "
|
日内瓦 中餐 招 楼面|帮 人 发帖 ， 餐馆 叫好 运 楼 ， 很多 人 都 不 喜欢 这家 店 。 其实 老板 夫妻 都 还 可以 ， 就是 说话 直 了 点 ， 其他 没什么 的 ， 我 觉得 就 是 能力 决定 一切 啦 。 。 待遇 大家 可以 面谈 ， 联系 电话 ： 0227389553 。 请 不 要 站 内 回复 ， 谢谢 ！ ！
日内瓦 招 寿司 大厨 （ 已经 找到 人 ， 谢谢 关注 ）|" 本 帖 最后 由 chen53 1531 于 2011-12-2712:05 编辑
代 发 ： 日内瓦 一 外 餐 找 寿司 大厨 ， 联系 方式 ： 0774421658"
语言 老师|" 一 位 朋友 ， 瑞士人 ， 男性 ， 有 一定 的 中文 基础 ， 由于 工作 繁忙 希望 可以 找 一 位 可以 周末 帮助 他 提高 他 的 中文 水平 的 中国 人 ， 具体 的 费用 可以 和 他 协商 。 工作 地点 在 苏黎世 。
如果 有 感 兴趣 的 请 站 内 留言 。 "
苏黎世 中餐馆 请人|苏黎世 中心 诚聘 一 位 楼面 50% 周 一 到 周五 中午 ， 要求 女性 ， 会 德语 ， 有 餐馆 工作 经验 ， 有意者 ， 请 站 内 留言 或 电话 联系 。 0765877188 ， 谢谢 。
苏黎士 附近 中餐 招 楼面 长工 和 临时 厨房 帮厨|" 餐馆 位置 在 离 苏黎士 坐 火车 25 分钟 左右 . 欲招 一 名 楼面 长工 ， 待遇 从 优 .
另 招 一 名 厨房 帮厨 ， 需要 2 个 月 左右 。
有意 的 朋友 请 联系 0449261418 详谈 , 谢谢 "
valais 州 sion 附近 中餐 招 楼面|valais 州 sion 附近 中餐 招 楼面 详情 电联 ： 07628 33701
Zurich 瑞士人 家庭 诚聘 中国 在校 女生 教 小孩 中文|" 本 帖 最后 由 helenabcde 于 2011-12-2313:56 编辑
大家 好 ， 我 是 代 人 发帖 ， 希望 找到 普通话 标准 、 喜欢 小孩 的 在校 女生 。
有意 向 者 请 留言 或者 发 站 内 信 给 我 ， 谢谢 。
时间 ： 从 2012 年 1 月 起
地点 ： 瑞士人 家里 ， 苏黎世 周边 的 社区 Lachen ， 离 HB 坐 火车 40 分钟 左右
工作 ： 陪 一 岁 半大 的 瑞士 小 男孩 玩 ， 他 的 父母 希望 他 从小 能够 有 一个 中文 的 环境 ， 方便 长大 一点 之后 学习 中文
报酬 ： 每周 一 到 两 次 ， 每次 两 小时 左右 ， 具体 时间 面议 ， CHF 25/ 小时 ， 车费 报销
因为 孩子 很 小 ， 你 要 做 的 只是 陪 小孩儿 用 中 文玩 玩具 什么 的 就 可以 了 ， 不 需要 教课 的 。 这家 瑞士人 很 nice ， 请 感 兴趣 的 同学 留言 或者 发 站 内 信 ， 谢谢 。
............................................................................................................
谢谢 大家 的 留言 和 站 内 信 ， 没 想到 有 这么 多 人 对 这 份 工作 有 兴趣 。
已经 联系 我 的 同学 我 会 一一 回复 你们 的 。
现有 的 回复 我 已经 处理 不 过来 ， 其他 同学 请 不要 再 给 我 发 站 内 信 了 ， 以免 浪费 你们 的 时间 。
谢谢 大家 的 理解 ， 祝 大家 圣诞 快乐 。
............................................................................................................ 已 找到 合适 的 人选 。
祝 大家 节日 愉快 ！ "
